user_reputation,reply_count,thumbs_up,thumbs_down,best_score,text,stars
1,0,0,9,100,Ok it looks white and tastes good but I don&#39;t like the inside at all I hate it nasty nasty white cake ever,2
1,0,0,0,100,Great recipe.  I followed it exactly and my family said they would like it often.,5
1,0,0,0,100,Fragrant and moist - I&#39;ve made this bread several times now and it is consistently delicious!,5
1,0,9,4,710,Great recipe! I cooked it 10 minutes longer but other then that it was great! My fussy husband loved it!,5
1,0,0,0,100,Love this recipe. Made it a couple of times now and both times delicious. I never thought I&#39;d have banana bread again! YUM! Make sure you add Xanthan Gum to the flour mixture if you are using Bob&#39;s all purpose flour to make it light. 2 t. per cup of flour.,5
1,0,2,0,253,"Personally I thought the onions were too sweet, and the flavors didn’t really go together. On the other hand, my husband really liked it and urged me to make it again!",3
1,0,0,0,100,"Made these and they were a hit, have shared recipe with 3 others already. Will make again very soon.",5
1,0,3,2,203,"This was amazing! I chose different shredded cheeses mixed mild cheddar, colby and sharp cheddar. I added about 2 TBS evaporated milk and used 1 1/2 2% milk and it was very creamy. Like the recipe states, &#34;USE AS MUCH MILK AS NEEDED TO CREATE DESIRED RESULT&#34; I will definitely be making this one again!",5
1,0,0,0,100,"I&#39;ve been using this recipe for years, yes, from Bon Appetite, and it never fails to get rave reviews and requests for the recipe.  I do use a little less sugar, 1 1/4 cups because I prefer it a little less sweet.",5
1,0,0,0,100,next time would add yoghurt in place of applesauce (normally used and gives moisture but also great taste). Prefer recipes that outline exactly what the gluten-free flour combo is.,4
1,0,0,0,100,This was a fantastic recipe.  Followed directions exactly and bread disappeared quickly.  To the reviewer who said their blueberries fell to bottom of the pan. The solution is to reserve 1 Tablespoon of your flour and put in sandwich bag then add your completely dry blueberries and coat them.  This prevents them from falling to the bottom of your pan.This is a bread you could take anywhere and be proud.  Thank you to the person who took the time to post/share with me.,5
1,0,0,0,100,"It was very easy to make and tasted great.  I will make it again, soon.  I also made it substituting broccoli.",5
1,0,0,0,100,"this is so good, I made it as sugar free as was possible and it turned better than I ever thought. My family is starting to think I went back to school to learn how to cook.",0
1,0,0,0,100,Fabulous!  Easy and delicious.,5
1,0,0,0,100,Didn&#39;t have spinach on hand so I used some green peppers. We loved it!,5
1,0,0,0,100,This was delicious and so quick and easy to make with simple ingredients.  This is a keeper!,4
1,0,2,0,253,"Amazing recipe! My husband and I visit this small Amish/Mennonite restaurant and I always get their Rhubarb Custard Pie. This reminds me of that pie, but so much easier to make. To cut back on calories, I omitted the frosting and just drizzled a very thin vanilla frosting over the top and I was happy with the result. This will be my go to recipe from now on, replacing the rhubarb custard pie I usually make. Thanks for sharing this.",5
1,0,0,0,100,My pie didn&#39;t set up..followed instructions to a tee....but we ate it with a spoon..great flavor!,4
1,0,0,1,100,This stuff is awesome. DO take the time to make it! It&#39;s not like eating some piece of candy from the store. It tastes homemade and way better than Snickers. I wrap the pieces individually and box them as gifts. People RAVE about this candy! I always have reprints of the recipe handy because I&#39;m constantly asked for it.,5
1,0,0,0,100,"I got this recipe in your 2004 Best Holiday  Recipes magazine. It is wonderful. I make it exactly by your recipe with the exception of the bake time, I bake it 1 hr 10 min. I have taken it to church many times and I get rave reviews. It&#39;s a keeper. . . .",5
1,0,0,0,100,"Husband said this is a definite recipe to make whenever we have guests over for dinner. That is saying a lot, obviously! ",5
1,0,0,0,100,"Hubby made and was very tender, juicy and really good flavor. Only thing he did different was add some red pepper.",5
1,0,0,0,100,"DELICIOUS, my wife even enjoyed it! She doesn&#39;t like Jalapenos, she a Yankee!",5
1,0,0,0,100,"My husband and I loved this soup. I did make some adjustments though. I only put in 2 cups of potatoes instead of 4, and 8 oz. of cheese instead of 16. Excellent taste.",5
1,0,0,0,100,This is a yummie recipe and very easy to make.  I think the only change I would make is to use a bit more enchilada sauce.  Black beans are good in this too!,0
1,0,0,0,100,"This is such a great recipe! We did make a few adjustments.  For the sauce to put on the apples, we halved everything except the vanilla.  For the crust/crumb mixture, we only put in 2/3 cup of brown sugar.  Next time we will try 1/2 cup as it was still plenty sweet!  My husband made it and he loved how easy it was!",5
1,0,0,0,100,"I made this cake for my husband&#39;s birthday. When I read the recipe, I was skeptical, as I had never heard of hot milk cake. I decided to try it because of all the great reviews. It was a bit more work than my usual yellow cake recipe, but it was well worth it! This is the fluffiest cake I have ever made. It was moist and light. I followed the recipe exactly. I think that beating the eggs for the full five minutes is essential. I made two 8x8 cakes and froze one for another day. I served the other one with fresh strawberries and light whipped cream. My husband raved about it. This is my new favourite cake recipe!",5
1,0,0,0,100,"I made this as a vegetarian dish, with Yves meatless ground (which is better than the frozen kind, and usually around $3 for a package that equals 1 pound of ground beef.)  Like others I also used cheddar in place of the velveeta, and since the meatless ground beef adds texture but not a lot of flavor I also added imitation bacon bits to add a little &#34;meat&#34; flavor.  It came out delicious, with a wonderful texture.  I will certainly be making this again!",5
1,0,0,0,100,"Since making this cake last year for St. Patrick&#39;s day it has become my &#34;signature&#34; cake.  People love it, it&#39;s easy and always turns out well.  I&#39;ve taken to mixing Bailey&#39;s in the frosting, instead of 1/2 cup whipping cream I do a 1/4 of each.  I&#39;m making it again tomorrow for my mom&#39;s boss birthday, sans Bailey&#39;s since it will be enjoyed at school.",5
1,0,0,0,100,"Made this on a cold, winter&#39;s night and it was a big hit! The pan was wiped clean. So needless to say, it&#39;s going in my recipe box!",5
1,0,6,0,811,Loved loved loved it I&#39;m so glad I only used ONE CUP of sugar instead of two as the apples provide a lot of sweetness as well. Turned out delicious!,5
1,0,5,1,738,"I have made this pie multiple times in the past. We loved it. So easy, and light, also.",5
1,0,0,0,100,I made this recipe using tortilla chips instead of the flour tortillas.  It was delicious!  I will definitely make it again.,5
1,0,0,0,100,Everyone I serve this too loves it!  It is wonderful and easy!,0
1,0,0,0,100,I made this for a fun party... EVRYONE LOVED IT.. they wanted the recipe.. I am going to make for Easter and add a little coconut on top and some PEEPS!!!,0
1,0,0,0,100,"Such an easy recipe and without condensed milk, it&#39;s a snap!  I added an extra TBSP of flour to avoid the liquid spreading at the bottom.  They are PERFECT!  This is my new &#39;go to&#39; recipe!",5
1,0,0,0,100,Delicious!  I have made it with only mayo when I haven&#39;t had sour cream in the refrigerator.,5
1,0,1,1,142,"Help! I made this twice and it did not cook on the bottom, bought new baking powder used 2% milk.  Could it be my oven, although I haven&#39;t had any problems until this...thank you.",0
1,0,0,0,100,Made this cake. It was great. Topped it with brown sugar frosting. Everyone loves it. Everyone must try brown sugar frosting. Just cut the powdered sugar in half and it has the perfect amount of sweetness.,5
10,0,0,0,100,"This recipe was very good.  We are trying to eat low-carb, therefore, I didn&#39;t make the rice.  I did double the sauce, which wasn&#39;t really necessary without the rice, but we enjoyed it.  I also omitted the Chinese five-spice powder, as I didn&#39;t have any on hand.",4
1,0,0,0,100,"SO GOOD! I omitted the green chilies because we don&#39;t like a lot of heat and it was still zippy and tasty.  Added 1 cup frozen corn.  Didn&#39;t have heavy cream, so I used 4 oz cream cheese instead.  Also used 3 cloves garlic in place of the garlic powder.  This is a wonderful cold weather meal!",5
1,0,0,0,100,I made this for Easter and it was a huge hit!  Everyone loved how moist and flavorful it was.  I will definitely make this again!,5
10,0,8,1,354,This is an amazing recipe. You cannot imagine the flavor this combination of ingredients produces. I have served it at a couple get togethers and it is the first thing gone.,5
1,0,0,0,100,I have made this recipe numerous times since the first time I served it to my family. It is excellent. We add additional mushrooms since we love them.,5
1,0,0,0,100,I made this recipe for a reception and every piece went.  The loaf I kept at home didn&#39;t last that much longer.  Delicious!  I did substitute orange/pineapple juice for the water.  I&#39;m making again tonight with the leftover pumpkin from the first recipe.,5
1,0,27,2,885,"Perfect bread starter. I do add ins black garlic, onion flakes, pepper, powdered onion and garlic. Also used as base for raisin bread. The options are endless.",5
10,1,18,4,376,I am not a big fan of cottage cheese. Is there anything you can use to replace it in the recipe?,0
1,0,0,0,100,"The taste and texture of this banana bread is perfect and my family loved it.  My personal preference is for the top crust to not be as dark.  I couldn&#39;t get the bread to cook all the way through without the top getting a dark brown.  (I made 2 loaves and put a piece of foil over one of them and it still turned out a dark brown.)  As I said, that is my personal preference.",5
0,0,2,0,253,"My whole family loves this (including my 2 and 4 year old; they can’t eat it fast enough!) I have made it many times and tried with tofu, ground turkey, scrambled eggs, you name it. So versatile!",5
1,0,4,4,196,Very good soup!  I did half of the recipe for my husband and I and it was the perfect amount for us to eat once with leftovers a couple of times.I left out the jalapeno peppers since we do not like spicy food. I also kept it in the crock pot for a couple of hours on warm since I needed to make the meal a while before we would be able to eat. Turned out great!,5
1,0,1,0,193,"Very good but my Cookbook Taste of Home  &#34; Best Loved Recipes &#34; says  rounded tsp. not TBSP.  So, 10 minutes was the max time as they browned pretty fast.",5
0,0,1,0,193,This was amazing! I will definitely make this again.,5
1,0,0,0,100,So good! Even my picky eaters loved it!,5
1,0,12,0,865,"Mmmmm super good.   We can make this recipe with any fruits.   It’s so good.   Made it with blueberries, strawberries and apples.",0
1,0,6,0,797,Scrumptious! What a great way to use up zucchini from my garden. I plan on making this recipe again and again. Thank you for this fantastic recipe!,5
1,0,1,0,193,Not impressed.  Not very moist or flavorful.,1
1,0,1,0,193,I followed the recipe EXACTLY  except  that I omitted the nuts.  The dough is so dry it won&#39;t hold together.  I added 2  tbsp of water.  I was expecting a much much nicer tasting and nicer looking cookie.  I went with this recipe because of a) the reviews and b) the ratio of oatmeal to flour.  Will. NEVER make them  again.  I got 6 dozen &#34;buttons&#34; about 1.5 &#34; diameter.  I see the other reviews and shake my head as to what went wrong. Maybe I should have added another egg or two but won&#39;t bother trying this recipe again.  Sorry!,1
1,0,1,5,113,Really bland. Looked super delicious in the pic. I would say skip the almond extract and use cinnamon in its place. And instead of the mixture on top us a cobbler/cake crumble instead. I think that would do the trick. Nobody in my family of 6 liked it. And I&#39;m the only one that is picky. So that&#39;s pretty bad.,1
1,0,0,0,100,"Ditto to the above comments.  An added bonus is that it is so easy to make, great for a crowd, and turns out perfect everytime.",0
1,0,0,0,100,"This is THE BEST banana nut bread recipe!  I have tried many in the past I will never use another one.  It is delicious, doesn&#39;t crumble all over the place, the bananas cook evenly, and with or without the glaze (for those who don&#39;t care for things too sweet) it is just heavenly.  Thank you Beverly Sprague for sharing your very fabulous recipe.  I am getting ready to make another batch right now!",5
1,0,0,17,100,"Where do I start..... Way to sweet, the corn &amp; sweet peas DO NOT make good lovers. This isn&#39;t any 30 minute meal by a VERY long shot. Maybe a few peas and carrots. I used tomato paste instead of ketchup. I can only imagine how sweet it would&#39;ve been with the ketchup. I used beef broth( I never like the granules or cubes). The after taste makes me want to hurl right now. I hate throwing food in the garbage but another meal of this wasn&#39;t going to happen. I even added some fresh ground pepper to cut the sweetness. Thank the heavens for pepper. I looked forward to eating this recipe and I am very bummed about throwing $$$$ down the drain. Fellow culinary participants...Stay away from this recipe. Very sad right now. If I could give no stars I would.",1
1,0,0,0,100,My family loved it!  Let the zucchini dry longer and omitted the salt.  Next time my family asked me to add mushrooms.  It was delicious!,5
1,0,0,0,100,These are yummy! So quick and easy! Thanks for sharing!,5
1,0,0,0,100,This is definitely a keeper! The cake is so moist it almost doesn&#39;t need frosting!,5
1,0,2,1,193,Great quick meal!  I used a bag of coleslaw mix and omitted the noodles.  I cut wontons into quarters and deep fried for about 15-20 seconds in peanut oil and served on the side with Sweet Thai Chili.,5
1,0,1,0,93,"I have been making this cake for over 25 years ... it is one of my husband&#39;s favorites ... I do use salted Butter ... if you don&#39;t have salted butter just add 1/2 tsp salt ... and I use 1 TBS of Vanilla. The mixture is thin!  BUT it works perfectly. I usually make it in a Bundt Pan , just because we like it that way. Too thin for a Tube Pan ... I like to make this to add to Gift Baskets. Use 6 to 7  PINT size  wide mouth jars, Grease inside, fill about 2/3 full place on a pan to bake @ 350  about 18 mins.  or until touch test works. Place lids and rings on as soon as you can after removing from the oven, they will seal ... tighten after jars have cooled ... if sealed they will be GOOD for at 2-3 months in cabinet. Enjoy!I have tried to give this 5 Stars ... But it just won&#39;t let me ... Could be me!",5
1,0,0,0,100,<p>I have been using this recipe for about 2 years and my whole family loves it.</p>,5
1,0,0,0,100,This is the best chicken fajita recipe!!!!  I’ve tried several but none are as good and simple as this. My family loves them and now I make this meal at least once a week.,5
1,0,0,0,100,"This tasted really good, and fresh.  Has the taste of regular slaw but adding the pasta really brings it all together. Makes a large amount and it takes a huge bowl to mix it in.  Definitely will make again.",5
1,0,0,0,100,I used 1 lb. of ground beef and American processed cheese slices instead and it worked out great since my family enjoys more beef in their soup.  I have been making this recipe since it came out in the magazine many years ago!  LOVE IT and share it with many people!  It&#39;s always a favorite that is requested at our Lenten Dinners at Church each year.,5
1,0,4,0,329,"This for Chinyere, if you are worried about the coffee flavor in the cake, you can&#39;t tell it is there. If you don&#39;t want the caffeine, use decaf. Yes you can use regular cocoa, I used Hersheys. I made it in a regular cake pan 2 different times and it turned out great, cooking time at 325 was 40 - 45 minutes. Kick it up a notch with this icing: https://www.southernplate.com/grandma-pearls-flaky-chocolate-icing/  (be sure to double this icing recipe)",5
1,0,0,0,100,Can you use fresh ravioli? Or do you have to cook it first?,4
1,0,0,0,100,Delicious!!!,5
1,0,0,0,100,I made this soup and it is yummy!,5
1,0,0,0,100,All 8 of us loved the flavor! Not hugely filling as is and quite watery from the zucchini.  Next time I made it decided to add 2-3 C. of cooked spaghetti to zucchini/cheese mixture.  Delicious and completely filling.  Have made it several times now and works out great.  Has become a big favorite.,5
1,0,0,0,100,I  like this recipe.  I followed the recipe as stated except I added 2 1/2 cups of vegetable broth instead of  bouillon and 2 1/2 cups of water.  The broth was pretty thin so I added 4 additional tablespoons of flower  mixed it with the broth and added back into the soup.  That thickened it up.  The taste was a little bland but still good.  Next time I may add green chillies!  Will make again.,4
1,0,3,0,297,"I was really skeptical about the fat free half and half  and flour in this recipe, but I&#39;ve been on Weight Watchers and really craving New England clam chowder so I thought I&#39;d give it a try. It worked like a dream, thickened up perfectly and tasted rich. No one could tell it was lower in fat. I also added celery with the onion, but otherwise kept the recipe the same. My family and guests thought it was great and finished every drop. In the past I&#39;ve added a splash of lager or pale ale to my chowder (not canon, I know, but I like it) and I may do that with this recipe in future. It just adds a little depth to the flavor.",5
1,0,0,0,100,Family favorite and favorite request from co-workers for pot lucks. Quick and easy to make yet brings raves,5
1,0,0,0,100,This is my go to recipe I am a novice bread baker and was a bit nervous if this recipe would work out. I am glad I did it&#39;s a hit every time the only thing I would like to share is the first time the bread lost moisture and so was a bit hard but then a friend told me to put a tray with water on the bottom rack to create a steam oven I am glad I got this tip the bread comes out moist on the inside and crusty on the outside!,5
1,0,2,0,253,I made this for Christmas brunch along with a savory casserole and it was a huge hit!  I can&#39;t stop thinking about how delicious this french toast was - will make it for New Year&#39;s Day as well!,5
1,0,0,0,100,Wonderful recipe! I used three large bananas and for one half cup of the flour used whole-wheat. I added a few mini chocolate chips and made mini muffins. 12 minutes was perfect. My three-year-old helper and I thought they were fantastic! Very easy and delicious!,5
1,0,0,0,100,"I brought them to work and everyone loved them. They are easy to make, they come out very moist. They have a mild spice flavor I think next time I will add a little more spice or some pumpkin pie spice as suggested by previous reviewer. Other wise they are great",5
1,0,0,0,100,"I have made a wacky choc.cake for years and this :has similar ingredients.But I question that this recipe has only 2c of flour, not 3c.  Likel theacky cake.I have not baked this cake because of the flour discrepancy.Are you sure it is 2c flour.?  For the . Liquid ,sugar,and cocoa amount IT does not seem proportional to the liquids.",3
1,0,0,0,100,My husband loves chowder.  I have never attempted to make it because he is so particular about it.  My kids and husband loved this!  I was just trying to find a way to use some leftover Christmas ham and stumbled upon a 5 star dish for my family!  No easy task!,5
1,0,1,0,193,This great recipe is a &#34;go to&#34; whenever we have company. I make it in the morning and put in the fridge until I&#39;m ready to pop it in the oven. I can spend more time with my guests and less time fussing in the kitch. Its always a hit and often requested by return guests.,5
1,0,0,0,100,"Quick and so good,  I kicked it up a notch, starting with a meat sauce, then the cheese ravioli, topped with Land of lakes New 4 cheese blend american style slices, grated mozzarela, sauce,a layer of italian sausage crumbled and cooked, sprinkled with italian seasoning, then a layer of beef ravioli. Topped with the same cheese layeres as above, then another layer of cheese raviloi.Another layer of sauce, grated parm then more italian cheese blend.  I also added a extra cup of water to the sauce to ensure that the pasta cooks well.  It really doesn&#39;t look like it is too thin of a sauce, but it does hlp.  This filled my lasagna pan which is larger than a 9x13.  Feeds an army.. I put this together the day before I wanted it. and took it out of the fridge about an hour before putting it in my 400 degree oven.  I covered it for the first 30 mins with foil sprayed with pam olive oil.  Uncovered it and let it brown a little.  PLEASE LET IT SIT FOR 15 MINS OR SO TO SET UP.  MANGA MANGA!",5
1,0,0,0,100,"very good, I took the advice of previous comments and lowered the sugar to 3/4 cup. Either than that, the texture, sweetness and everything was perfect!",5
1,0,1,0,193,"I have made this recipe several times and it turns out perfect every time! The last couple of times, I mixed up the ingredients according to the recipe and then dumped it all into a buttered crock pot. It turned out perfectly then, too! This is the all time best mac-n-cheese recipe. For the american process cheese, instead of Velveeta, I use Kraft Deluxe American slices or I buy sliced American cheese at the deli counter, then cut it into chunks. For the shredded cheddar, I buy block cheddar and shred it myself. I usually use either all sharp cheddar or half sharp and half medium/mild. The sharp cheddar is the one with all the cheesy flavor. (I live in Wisconsin. I know these things, lol.)",5
20,0,1,0,193,"Perfect and one of my all time favorites.  No one sells them anymore, but where I live there isn&#39;t a proper butcher shop, deli or bakery.  These are easy to make and I beat or whip the egg whites first, mix the other ingredients and &#34;fold&#34; in the whipped egg whites.  People are polarized, they either love coconut or they don&#39;t,  luckily my group loves them as much as I do.  And a simple, quick recipe too.",5
